issf_core_id,attribute__attribute_label,value,attribute_value__value_label,country,region
2546,Main gear type(s):,,Poisons and explosives,Indonesia,Asia and Oceania
3563,Main gear type(s):,,Poisons and explosives,Nigeria,Africa
3161,Main gear type(s):,,Poisons and explosives,Mozambique,Africa
3640,Main gear type(s):,,Poisons and explosives,Zimbabwe,Africa
3664,Main gear type(s):,,Poisons and explosives,Philippines,Asia and Oceania
3184,Main gear type(s):,,Poisons and explosives,Mexico,Latin America and the Caribbean
3432,Main gear type(s):,,Poisons and explosives,Jamaica,Latin America and the Caribbean
3562,Main gear type(s):,,Poisons and explosives,Madagascar,Africa
2343,Main gear type(s):,,Poisons and explosives,Tanzania,Africa
3555,Main gear type(s):,,Poisons and explosives,Ghana,Africa
2995,Main gear type(s):,,Recreational fishing gear,Turkey,Europe
2420,Main gear type(s):,,Recreational fishing gear,Norway,Europe
3686,Main gear type(s):,,Recreational fishing gear,Canada,North America and Canada
3632,Main gear type(s):,,Recreational fishing gear,South Africa,Africa
2551,Main gear type(s):,,Recreational fishing gear,France,Europe
3432,Main gear type(s):,,Recreational fishing gear,Jamaica,Latin America and the Caribbean
3202,Main gear type(s):,,Recreational fishing gear,Greece,Europe
3161,Main gear type(s):,,Recreational fishing gear,Mozambique,Africa
3218,Main gear type(s):,,Recreational fishing gear,Eritrea,Africa
2137,Main gear type(s):,,Recreational fishing gear,South Africa,Africa
2513,Main gear type(s):,,Recreational fishing gear,Tanzania,Africa
3697,Main gear type(s):,,Recreational fishing gear,Zambia,Africa
3266,Main gear type(s):,,Recreational fishing gear,Canada,North America and Canada
3159,Main gear type(s):,,Recreational fishing gear,Malta,Europe
3664,Main gear type(s):,,Recreational fishing gear,Philippines,Asia and Oceania
2677,Main gear type(s):,,Recreational fishing gear,Greece,Europe
2305,Main gear type(s):,,Recreational fishing gear,Nepal,Asia and Oceania
3409,Main gear type(s):,,Recreational fishing gear,Belize,Latin America and the Caribbean
3701,Main gear type(s):,,Recreational fishing gear,Philippines,Asia and Oceania
3630,Main gear type(s):,,Recreational fishing gear,Tanzania,Africa
2495,Main gear type(s):,,Recreational fishing gear,Belgium,Europe
2520,Main gear type(s):,,Recreational fishing gear,Brazil,Latin America and the Caribbean
2343,Main gear type(s):,,Seine nets,Tanzania,Africa
2420,Main gear type(s):,,Seine nets,Norway,Europe
2541,Main gear type(s):,,Seine nets,Indonesia,Asia and Oceania
3458,Main gear type(s):,,Seine nets,Kiribati,Asia and Oceania
3702,Main gear type(s):,,Seine nets,Ghana,Africa
2520,Main gear type(s):,,Seine nets,Brazil,Latin America and the Caribbean
3664,Main gear type(s):,,Seine nets,Philippines,Asia and Oceania
2535,Main gear type(s):,,Seine nets,Brazil,Latin America and the Caribbean
2480,Main gear type(s):,,Seine nets,El Salvador,Latin America and the Caribbean
2327,Main gear type(s):,,Seine nets,India,Asia and Oceania
3580,Main gear type(s):,,Seine nets,Liberia,Africa
3660,Main gear type(s):,,Seine nets,Philippines,Asia and Oceania
3707,Main gear type(s):,,Seine nets,Bangladesh,Asia and Oceania
2536,Main gear type(s):,,Seine nets,Bangladesh,Asia and Oceania
3629,Main gear type(s):,,Seine nets,Malawi,Africa
3247,Main gear type(s):,,Seine nets,Brazil,Latin America and the Caribbean
3695,Main gear type(s):,,Seine nets,Bangladesh,Asia and Oceania
2380,Main gear type(s):,,Seine nets,India,Asia and Oceania
2542,Main gear type(s):,,Seine nets,Indonesia,Asia and Oceania
2335,Main gear type(s):,,Seine nets,Philippines,Asia and Oceania
3387,Main gear type(s):,,Seine nets,Netherlands,Europe
3596,Main gear type(s):,,Seine nets,Benin,Africa
3566,Main gear type(s):,,Seine nets,Cameroon,Africa
2131,Main gear type(s):,,Seine nets,Tanzania,Africa
3652,Main gear type(s):,,Seine nets,Philippines,Asia and Oceania
2378,Main gear type(s):,,Seine nets,Indonesia,Asia and Oceania
3569,Main gear type(s):,,Seine nets,Nigeria,Africa
3640,Main gear type(s):,,Seine nets,Zimbabwe,Africa
2539,Main gear type(s):,,Seine nets,Brazil,Latin America and the Caribbean
3563,Main gear type(s):,,Seine nets,Nigeria,Africa
3576,Main gear type(s):,,Seine nets,Togo,Africa
2417,Main gear type(s):,,Seine nets,Iceland,Europe
2514,Main gear type(s):,,Seine nets,Tanzania,Africa
2425,Main gear type(s):,,Seine nets,United States of America,North America and Canada
3559,Main gear type(s):,,Seine nets,Nigeria,Africa
3562,Main gear type(s):,,Seine nets,Madagascar,Africa
3570,Main gear type(s):,,Seine nets,Malawi,Africa
3564,Main gear type(s):,,Seine nets,Nigeria,Africa
2295,Main gear type(s):,,Seine nets,Senegal,Africa
2322,Main gear type(s):,,Seine nets,Chile,Latin America and the Caribbean
3634,Main gear type(s):,,Seine nets,Nigeria,Africa
3432,Main gear type(s):,,Seine nets,Jamaica,Latin America and the Caribbean
3567,Main gear type(s):,,Seine nets,Nigeria,Africa
3555,Main gear type(s):,,Seine nets,Ghana,Africa
2544,Main gear type(s):,,Seine nets,Canada,North America and Canada
3267,Main gear type(s):,,Seine nets,Canada,North America and Canada
3811,Main gear type(s):,,Seine nets,Turkey,Europe
2477,Main gear type(s):,,Seine nets,Colombia,Latin America and the Caribbean
2531,Main gear type(s):,,Seine nets,Brazil,Latin America and the Caribbean
3573,Main gear type(s):,,Seine nets,Tanzania,Africa
3589,Main gear type(s):,,Seine nets,Senegal,Africa
3561,Main gear type(s):,,Seine nets,Nigeria,Africa
2543,Main gear type(s):,,Seine nets,Indonesia,Asia and Oceania
2140,Main gear type(s):,,Seine nets,Brazil,Latin America and the Caribbean
3560,Main gear type(s):,,Seine nets,Ghana,Africa
3161,Main gear type(s):,,Seine nets,Mozambique,Africa
2360,Main gear type(s):,,Seine nets,Brazil,Latin America and the Caribbean
3597,Main gear type(s):,,Seine nets,Liberia,Africa
3635,Main gear type(s):,,Seine nets,Nigeria,Africa
3642,Main gear type(s):,,Seine nets,Kenya,Africa
3627,Main gear type(s):,,Seine nets,Egypt,Africa
3701,Main gear type(s):,,Seine nets,Philippines,Asia and Oceania
3407,Main gear type(s):,,Seine nets,Nigeria,Africa
2438,Main gear type(s):,,Seine nets,Sierra Leone,Africa
2408,Main gear type(s):,,Seine nets,Brazil,Latin America and the Caribbean
3497,Main gear type(s):,,Seine nets,Indonesia,Asia and Oceania
3628,Main gear type(s):,,Seine nets,Madagascar,Africa
3159,Main gear type(s):,,Seine nets,Malta,Europe
2680,Main gear type(s):,,Seine nets,Greece,Europe
3201,Main gear type(s):,,Seine nets,Cambodia,Asia and Oceania
2414,Main gear type(s):,,Seine nets,Senegal,Africa
2479,Main gear type(s):,,Seine nets,Brazil,Latin America and the Caribbean
3557,Main gear type(s):,,Seine nets,Ghana,Africa
2676,Main gear type(s):,,Seine nets,United States of America,North America and Canada
2532,Main gear type(s):,,Seine nets,Brazil,Latin America and the Caribbean
3577,Main gear type(s):,,Seine nets,South Africa,Africa
3230,Main gear type(s):,,Seine nets,Bangladesh,Asia and Oceania
2134,Main gear type(s):,,Seine nets,Brazil,Latin America and the Caribbean
3592,Main gear type(s):,,Surrounding nets,Gambia,Africa
3576,Main gear type(s):,,Surrounding nets,Togo,Africa
3596,Main gear type(s):,,Surrounding nets,Benin,Africa
3557,Main gear type(s):,,Surrounding nets,Ghana,Africa
2544,Main gear type(s):,,Surrounding nets,Canada,North America and Canada
3591,Main gear type(s):,,Surrounding nets,Cote d'Ivoire,Africa
2241,Main gear type(s):,,Surrounding nets,Ghana,Africa
2424,Main gear type(s):,,Surrounding nets,Colombia,Latin America and the Caribbean
2536,Main gear type(s):,,Surrounding nets,Bangladesh,Asia and Oceania
2295,Main gear type(s):,,Surrounding nets,Senegal,Africa
3644,Main gear type(s):,,Surrounding nets,Nigeria,Africa
3630,Main gear type(s):,,Surrounding nets,Tanzania,Africa
3497,Main gear type(s):,,Surrounding nets,Indonesia,Asia and Oceania
3404,Main gear type(s):,,Surrounding nets,United States of America,North America and Canada
3597,Main gear type(s):,,Surrounding nets,Liberia,Africa
3562,Main gear type(s):,,Surrounding nets,Madagascar,Africa
3664,Main gear type(s):,,Surrounding nets,Philippines,Asia and Oceania
3573,Main gear type(s):,,Surrounding nets,Tanzania,Africa
3455,Main gear type(s):,,Surrounding nets,Peru,Latin America and the Caribbean
